"team","university"
"Yale Ladybug","Yale University"
"Down The Dictator","Vanderbilt University"
"Zagreb 1","University of Zagreb"
"Gryffindor","University of Wisconsin-Madison"
"Re:ZERO -Starting From Zero Once Again in ICPC-","University of Wisconsin-Madison"
"NewJeans","University of Oxford"
"Infinity","University of Novi Sad"
"Ippatsu","University of Illinois at Urbana-Champaign"
"Ippatsu","University of Illinois at Urbana-Champaign"
"UCF Lambda","University of Central Florida"
"UCF OrElse","University of Central Florida"
"UCLA Fortune","University of California, Los Angeles"
"UCLA Shortbread","University of California, Los Angeles"
"UCLA Stroopwafel","University of California, Los Angeles"
"UCLA Three Musketeers","University of California, Los Angeles"
"Bill Poucher","University of California, Berkeley"
"Heroes of the C","Universidade do Porto"
"👌whoosh👌","The University of Texas at Dallas"
"👌whoosh👌","The University of Texas at Dallas"
"those who know","The University of Texas at Austin"
"UGA Cross Country Team","The University of Georgia"
"pocpocpoc","The University of Chicago"
"Forgetful functors","The University of British Columbia"
"UBSEA","The University of British Columbia"
"KNU_0_GB_RAM","Taras Shevchenko National University of Kyiv"
"Stanford Cardinal","Stanford University"
"<(OvO)>","Saarland University"
"Rutgers-Albatross","Rutgers University"
"Purdue Waffle Wizards","Purdue University"
"Princeton-1","Princeton University"
"Princeton-We Play with Mud in the Northeast","Princeton University"
"NYU-Leaky","New York University"
"NYU-Team1","New York University"
"IJK","Massachusetts Institute of Technology"
"Mex Foundation","Massachusetts Institute of Technology"
"milk tea","Massachusetts Institute of Technology"
"LNU Stallions","Lviv National University"
"KhNURE_KIVI","Kharkiv National University of Radio Electronics"
"Kindergarten Timelimit","Karlsruhe Institute of Technology"
"Abstract Syntax Tree","Johns Hopkins University"
"Jagiellonian 1","Jagiellonian University in Krakow"
"Jagiellonian teapots","Jagiellonian University in Krakow"
"GT Iridescent","Georgia Institute of Technology"
"dETHroners","ETH Zürich"
"cnXtv","Ecole Polytechnique"
"Xeppelin","Ecole Polytechnique"
"Cornell-Kappa","Cornell University"
"Columbia-CU Again","Columbia University"
"Mines-Albatross","Colorado School of Mines"
"Sapphire Mines","Colorado School of Mines"
"CMU NewGamePlusPlayers","Carnegie Mellon University"
